filename,status,num_records,total_chars,thin_chunks,table_ratio,file_bytes,issues,preview
2022-Annual-Report-KARRO-2023.json,EMPTY,0,0,75,0.00,3952519,Has 75 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Annual-Report-KNHA-2023.json,EMPTY,0,0,128,0.00,5623033,Has 128 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Annual-Report-KPLC-Summary-of-Year.json,EMPTY,0,0,3,0.00,145713,Has 3 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Annual-Report-KPLC-Summary.json,EMPTY,0,0,3,0.00,146702,Has 3 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Annual-Report-KPLC-Supplies.json,EMPTY,0,0,193,0.00,15871618,Has 193 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Annual-Report-KPLC-Survey.json,EMPTY,0,0,3,0.00,160491,Has 3 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Annual-Report-KPLC-Sustainability-Performance.json,EMPTY,0,0,3,0.00,185601,Has 3 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Annual-Report-National-Transport-Safety-Authority.json,EMPTY,0,0,82,0.00,5233602,Has 82 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Annual-Report.json,EMPTY,0,0,100,0.00,10118001,Has 100 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-AnnualReport-KALRO-ICRI.json,EMPTY,0,0,89,0.00,6844056,Has 89 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-AnnualReport-KALRO.json,EMPTY,0,0,0,0.00,106259,All records extracted to empty text,
2022-Anual-Report.json,EMPTY,0,0,4,0.00,939762,Has 4 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Audit-Report-Digital-Version.json,EMPTY,0,0,3,0.00,1284883,Has 3 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Audit-Report-Migration-And-Invasive-Pests-And-Weeds-Management-Strategy.json,EMPTY,0,0,75,0.00,5316768,Has 75 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Audit-Report-Study-1.json,EMPTY,0,0,0,0.00,17527,All records extracted to empty text,
2022-Budget-Policy-Statement.json,EMPTY,0,0,85,0.00,15758126,Has 85 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Economic-Survey.json,EMPTY,0,0,410,0.00,74138106,Has 410 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Energy-and-Petroleum-Stats-Report.json,EMPTY,0,0,33,0.00,4149474,Has 33 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-Forensic-Audit-Report-on-National-Optic-Fibre-Backbone-Infrastructure-and-IP-Based-HIPATH-4000-Network-Projects.json,EMPTY,0,0,154,0.00,13406756,Has 154 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-IGF-report.json,EMPTY,0,0,1,0.00,675498,Has 1 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
2022-KCSE-EXAMINATION-ESSENTIAL-STATISTICS.json,EMPTY,0,0,14,0.00,2694648,Has 14 table(s) but zero prose blocks — possible tables-only doc or missed body text | All records extracted to empty text,
