agent,original_filename,filepath,size_kb,flags
Agriculture,AFA-SECOND-QUARTER-E-BULLETIN-2024-25.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/AFA-SECOND-QUARTER-E-BULLETIN-2024-25.pdf,3758.1,ALL_CAPS
Agriculture,ANNUAL REPORT FCRI 2022-23.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/ANNUAL REPORT FCRI 2022-23.pdf,3529.5,ALL_CAPS|HAS_SPACES
Agriculture,ASTGS-Full-Version-1.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/ASTGS-Full-Version-1.pdf,11910.7,
Agriculture,Agricultural Biotechnology Annual_Nairobi_Kenya_12-21-2016.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Agricultural Biotechnology Annual_Nairobi_Kenya_12-21-2016.pdf,346.4,HAS_SPACES
Agriculture,Agricultural-Finance-Corporation-1.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Agricultural-Finance-Corporation-1.pdf,2975.0,
Agriculture,Agricultural-Finance-Corporationauditor general.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Agricultural-Finance-Corporationauditor general.pdf,1749.8,HAS_SPACES
Agriculture,Animal-Disease-Act-Fees-and-Payments.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Animal-Disease-Act-Fees-and-Payments.pdf,552.3,
Agriculture,Avocado _Nairobi_Kenya_KE2025-0001.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Avocado _Nairobi_Kenya_KE2025-0001.pdf,672.8,HAS_SPACES
Agriculture,BRI ANNUAL REPORT 2022-2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/BRI ANNUAL REPORT 2022-2023.pdf,946.4,ALL_CAPS|HAS_SPACES
Agriculture,Bulletin-2016fisheries.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Bulletin-2016fisheries.pdf,2445.2,
Agriculture,CATALOGUE-BREEDS-PUBLISHED-VERSION.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/CATALOGUE-BREEDS-PUBLISHED-VERSION.pdf,16594.8,ALL_CAPS
Agriculture,Capacity-Building-Strategy-for-the-Agricultural-Sector-2016-2021.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Capacity-Building-Strategy-for-the-Agricultural-Sector-2016-2021.pdf,1232.4,
Agriculture,Consolidated-Summary-Report-NCCE-2023-FINAL.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Consolidated-Summary-Report-NCCE-2023-FINAL.pdf,1253.2,
Agriculture,DRAFT-KASEP-POLICY-14.3.2022-1.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/DRAFT-KASEP-POLICY-14.3.2022-1.pdf,1099.5,ALL_CAPS
Agriculture,DRAFT-VEGETATIVELY-PROPAGATING-SEEDS-REGULATIONS-2023-For-National-Validation.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/DRAFT-VEGETATIVELY-PROPAGATING-SEEDS-REGULATIONS-2023-For-National-Validation.pdf,2324.5,
Agriculture,DRI Annual Report for 2022-2023.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/DRI Annual Report for 2022-2023.pdf,1279.6,HAS_SPACES
Agriculture,DVS-magazine-2020-A-new-dawn-at-the-directorate-of-veterinary-services.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/DVS-magazine-2020-A-new-dawn-at-the-directorate-of-veterinary-services.pdf,7167.4,
Agriculture,Dairy-Interventions-for-Mitigation-and-Adaptation-DaIMA-Funding-Proposal-Environmental-and-Social-Management-Framework.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Dairy-Interventions-for-Mitigation-and-Adaptation-DaIMA-Funding-Proposal-Environmental-and-Social-Management-Framework.pdf,2994.6,
Agriculture,Dairy-Interventions-for-Mitigation-and-Adaptation-DaIMA-Funding-Proposal-Indigenous-Peoples-Planning-Framework.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Dairy-Interventions-for-Mitigation-and-Adaptation-DaIMA-Funding-Proposal-Indigenous-Peoples-Planning-Framework.pdf,264.4,
Agriculture,December_2025_Monthly_weather_Forecast.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/December_2025_Monthly_weather_Forecast.pdf,836.3,
Agriculture,Draft-Fertilizers-and-Animal-Foodstuffs-Fertilizers-Regulations-2021-Draft-for-national-validation.pdf,/home/darwin/PRES/Executive/Agriculture/data/raw/Draft-Fertilizers-and-Animal-Foodstuffs-Fertilizers-Regulations-2021-Draft-for-national-validation.pdf,807.3,
